Year,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2023,Nillumbik,2 Community,29 Other community location,291 Cemetery,1
2023,Nillumbik,2 Community,29 Other community location,292 Civic Centre,1
2023,Nillumbik,3 Other,31 Admin/professional,311 Business Office,1
2023,Nillumbik,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2023,Nillumbik,3 Other,32 Financial,321 Bank,2
2023,Nillumbik,3 Other,32 Financial,323 ATM/Eftpos,1
2023,Nillumbik,3 Other,33 Retail,331 Chemist/Pharmacy,5
2023,Nillumbik,3 Other,33 Retail,3310 24Hr Convenience,1
2023,Nillumbik,3 Other,33 Retail,3311 Restaurant/Fastfood,26
2023,Nillumbik,3 Other,33 Retail,3312 Other Retail,24
2023,Nillumbik,3 Other,33 Retail,332 Service Station,61
2023,Nillumbik,3 Other,33 Retail,335 Supermarket,22
2023,Nillumbik,3 Other,33 Retail,336 Department Store,6
2023,Nillumbik,3 Other,33 Retail,337 Shopping Complex,12
2023,Nillumbik,3 Other,33 Retail,339 Milkbar,6
2023,Nillumbik,3 Other,36 Manufacturing,361 Factory,3
2023,Nillumbik,3 Other,37 Agricultural,371 Farmland/Agricultural,6
2023,Nillumbik,3 Other,37 Agricultural,372 Orchard,1
2023,Nillumbik,3 Other,37 Agricultural,373 Other Agricultural,1
2023,Nillumbik,3 Other,38 Recreational,381 Licensed Premises,11
2023,Nillumbik,3 Other,38 Recreational,384 Sport Area/Facility,10
2023,Nillumbik,3 Other,38 Recreational,385 Gaming Venue,1
2023,Nillumbik,3 Other,38 Recreational,386 Other Rec./Sports,5
2023,Nillumbik,3 Other,38 Recreational,387 Gym/Fitness,1
2023,Nillumbik,3 Other,39 Other location,392 Other Location (Not Elsewhere),6
2023,Nillumbik,3 Other,39 Other location,393 Construction Site,5
2023,Northern Grampians,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,27
2023,Northern Grampians,1 Residential,11 Dwelling - private,112 House,391
2023,Northern Grampians,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2023,Northern Grampians,1 Residential,11 Dwelling - private,116 Ministry Of Housing,5
2023,Northern Grampians,1 Residential,11 Dwelling - private,117 Farm House,4
2023,Northern Grampians,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2023,Northern Grampians,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2023,Northern Grampians,1 Residential,12 Dwelling  - non-private,124 Nursing Home,2
2023,Northern Grampians,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,17
2023,Northern Grampians,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,1
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,132 Backyard,17
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,133 Frontyard,19
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,135 Shed,13
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,9
2023,Northern Grampians,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,7
2023,Northern Grampians,2 Community,21 Education,211 School,2
2023,Northern Grampians,2 Community,21 Education,212 School Grounds,5
2023,Northern Grampians,2 Community,21 Education,213 Other Educational,2
2023,Northern Grampians,2 Community,22 Health,221 Hospital,5
2023,Northern Grampians,2 Community,22 Health,222 Medical Centre,1
2023,Northern Grampians,2 Community,22 Health,224 Other Health,2
2023,Northern Grampians,2 Community,24 Public Transport,2410 Rail Track,1
2023,Northern Grampians,2 Community,24 Public Transport,242 Train Station,2
2023,Northern Grampians,2 Community,24 Public Transport,243 Railway Carpark,9
2023,Northern Grampians,2 Community,25 Other Transport,251 Private Car,2
2023,Northern Grampians,2 Community,25 Other Transport,255 Carpark (Single Level),10
2023,Northern Grampians,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2023,Northern Grampians,2 Community,26 Justice,261 Police Station,7
2023,Northern Grampians,2 Community,26 Justice,262 Court,22
2023,Northern Grampians,2 Community,26 Justice,269 Other Justice (nec),6
2023,Northern Grampians,2 Community,27 Open Space,271 Parkland/Reserve,17
2023,Northern Grampians,2 Community,27 Open Space,272 Rural,9
2023,Northern Grampians,2 Community,27 Open Space,273 Vacant Block,2
2023,Northern Grampians,2 Community,27 Open Space,275 Other Open Space,4
2023,Northern Grampians,2 Community,28 Street/footpath,281 Street/Lane/Footpath,174
2023,Northern Grampians,2 Community,29 Other community location,291 Cemetery,1
2023,Northern Grampians,2 Community,29 Other community location,292 Civic Centre,4
2023,Northern Grampians,2 Community,29 Other community location,294 Car Wash,2
2023,Northern Grampians,3 Other,31 Admin/professional,311 Business Office,1
2023,Northern Grampians,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2023,Northern Grampians,3 Other,32 Financial,321 Bank,1
2023,Northern Grampians,3 Other,32 Financial,324 Other Financial,1
2023,Northern Grampians,3 Other,33 Retail,331 Chemist/Pharmacy,1
2023,Northern Grampians,3 Other,33 Retail,3310 24Hr Convenience,2
2023,Northern Grampians,3 Other,33 Retail,3311 Restaurant/Fastfood,4
2023,Northern Grampians,3 Other,33 Retail,3312 Other Retail,17
2023,Northern Grampians,3 Other,33 Retail,332 Service Station,15
2023,Northern Grampians,3 Other,33 Retail,335 Supermarket,17
2023,Northern Grampians,3 Other,33 Retail,338 Car Sales Yard,3
2023,Northern Grampians,3 Other,35 Warehousing/storage,351 Warehousing/Storage,1
2023,Northern Grampians,3 Other,36 Manufacturing,361 Factory,5
2023,Northern Grampians,3 Other,36 Manufacturing,362 Any Manufacturing,1
2023,Northern Grampians,3 Other,37 Agricultural,371 Farmland/Agricultural,13
2023,Northern Grampians,3 Other,37 Agricultural,373 Other Agricultural,1
2023,Northern Grampians,3 Other,38 Recreational,381 Licensed Premises,24
2023,Northern Grampians,3 Other,38 Recreational,384 Sport Area/Facility,7
2023,Northern Grampians,3 Other,38 Recreational,385 Gaming Venue,2
2023,Northern Grampians,3 Other,38 Recreational,386 Other Rec./Sports,8
2023,Northern Grampians,3 Other,38 Recreational,387 Gym/Fitness,3
2023,Northern Grampians,3 Other,39 Other location,392 Other Location (Not Elsewhere),7
2023,Northern Grampians,3 Other,39 Other location,393 Construction Site,1
2023,Port Phillip,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,2464
2023,Port Phillip,1 Residential,11 Dwelling - private,112 House,1443
2023,Port Phillip,1 Residential,11 Dwelling - private,113 Bungalow,3
2023,Port Phillip,1 Residential,11 Dwelling - private,115 Houseboat,3
2023,Port Phillip,1 Residential,11 Dwelling - private,116 Ministry Of Housing,162
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,121 Boarding House,74
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,123 Guest House,6
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,124 Nursing Home,9
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,100
2023,Port Phillip,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,52
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,10
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,55
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,132 Backyard,53
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,133 Frontyard,201
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,134 Garage,109
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,135 Shed,14
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,21
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),96
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,249
2023,Port Phillip,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,589
2023,Port Phillip,2 Community,21 Education,211 School,33
2023,Port Phillip,2 Community,21 Education,212 School Grounds,18
2023,Port Phillip,2 Community,21 Education,213 Other Educational,14
2023,Port Phillip,2 Community,22 Health,221 Hospital,1
2023,Port Phillip,2 Community,22 Health,222 Medical Centre,11
2023,Port Phillip,2 Community,22 Health,223 Dental,4
2023,Port Phillip,2 Community,22 Health,224 Other Health,30
2023,Port Phillip,2 Community,23 Religious,231 Church,33
2023,Port Phillip,2 Community,23 Religious,232 Other religious,13
2023,Port Phillip,2 Community,24 Public Transport,241 Train,8
2023,Port Phillip,2 Community,24 Public Transport,242 Train Station,46
2023,Port Phillip,2 Community,24 Public Transport,243 Railway Carpark,2
2023,Port Phillip,2 Community,24 Public Transport,244 Tram/Tram Stop,53
2023,Port Phillip,2 Community,24 Public Transport,245 Bus/Bus Stop,2
2023,Port Phillip,2 Community,24 Public Transport,246 Depot/Terminal,1
2023,Port Phillip,2 Community,24 Public Transport,249 Taxi,18
2023,Port Phillip,2 Community,25 Other Transport,251 Private Car,9
2023,Port Phillip,2 Community,25 Other Transport,253 Boat,5
2023,Port Phillip,2 Community,25 Other Transport,254 Dock/Wharf,6
2023,Port Phillip,2 Community,25 Other Transport,255 Carpark (Single Level),243
2023,Port Phillip,2 Community,25 Other Transport,256 Carpark (Multi Level),87
2023,Port Phillip,2 Community,25 Other Transport,257 Other Transport Type/Area,23
2023,Port Phillip,2 Community,26 Justice,261 Police Station,184
2023,Port Phillip,2 Community,26 Justice,262 Court,8
2023,Port Phillip,2 Community,26 Justice,264 Youth Training Centre,2
2023,Port Phillip,2 Community,26 Justice,265 Other Justice Facility,1
2023,Port Phillip,2 Community,27 Open Space,271 Parkland/Reserve,127
2023,Port Phillip,2 Community,27 Open Space,272 Rural,1
2023,Port Phillip,2 Community,27 Open Space,273 Vacant Block,4
2023,Port Phillip,2 Community,27 Open Space,274 Beach Foreshore,101
2023,Port Phillip,2 Community,27 Open Space,275 Other Open Space,29
2023,Port Phillip,2 Community,27 Open Space,276 Beach Car Park,3
2023,Port Phillip,2 Community,28 Street/footpath,281 Street/Lane/Footpath,3356
2023,Port Phillip,2 Community,29 Other community location,291 Cemetery,5
2023,Port Phillip,2 Community,29 Other community location,292 Civic Centre,10
2023,Port Phillip,2 Community,29 Other community location,293 Gallery,2
2023,Port Phillip,2 Community,29 Other community location,294 Car Wash,8
2023,Port Phillip,3 Other,31 Admin/professional,311 Business Office,178
2023,Port Phillip,3 Other,31 Admin/professional,312 Other Admin/Professional,47
2023,Port Phillip,3 Other,32 Financial,321 Bank,31
2023,Port Phillip,3 Other,32 Financial,323 ATM/Eftpos,2
2023,Port Phillip,3 Other,32 Financial,324 Other Financial,5
2023,Port Phillip,3 Other,33 Retail,331 Chemist/Pharmacy,47
2023,Port Phillip,3 Other,33 Retail,3310 24Hr Convenience,130
2023,Port Phillip,3 Other,33 Retail,3311 Restaurant/Fastfood,260
2023,Port Phillip,3 Other,33 Retail,3312 Other Retail,407
2023,Port Phillip,3 Other,33 Retail,332 Service Station,141
2023,Port Phillip,3 Other,33 Retail,333 Jeweller,1
2023,Port Phillip,3 Other,33 Retail,334 2nd Hand Dealer,4
2023,Port Phillip,3 Other,33 Retail,335 Supermarket,252
2023,Port Phillip,3 Other,33 Retail,336 Department Store,31
2023,Port Phillip,3 Other,33 Retail,337 Shopping Complex,72
2023,Port Phillip,3 Other,33 Retail,338 Car Sales Yard,26
2023,Port Phillip,3 Other,33 Retail,339 Milkbar,13
2023,Port Phillip,3 Other,34 Wholesale,341 Any Wholesale,11
2023,Port Phillip,3 Other,35 Warehousing/storage,351 Warehousing/Storage,69
2023,Port Phillip,3 Other,36 Manufacturing,361 Factory,15
2023,Port Phillip,3 Other,36 Manufacturing,362 Any Manufacturing,4
2023,Port Phillip,3 Other,37 Agricultural,373 Other Agricultural,1
2023,Port Phillip,3 Other,38 Recreational,381 Licensed Premises,276
2023,Port Phillip,3 Other,38 Recreational,382 Tab,1
2023,Port Phillip,3 Other,38 Recreational,383 Cinema,1
2023,Port Phillip,3 Other,38 Recreational,384 Sport Area/Facility,56
2023,Port Phillip,3 Other,38 Recreational,385 Gaming Venue,8
2023,Port Phillip,3 Other,38 Recreational,386 Other Rec./Sports,24
2023,Port Phillip,3 Other,38 Recreational,387 Gym/Fitness,17
2023,Port Phillip,3 Other,39 Other location,391 Massage Parlour/Brothel,18
2023,Port Phillip,3 Other,39 Other location,392 Other Location (Not Elsewhere),100
2023,Port Phillip,3 Other,39 Other location,393 Construction Site,44
2023,Port Phillip,3 Other,39 Other location,394 Veterinary Clinic,1
2023,Pyrenees,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,2
2023,Pyrenees,1 Residential,11 Dwelling - private,112 House,150
2023,Pyrenees,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2023,Pyrenees,1 Residential,11 Dwelling - private,117 Farm House,7
2023,Pyrenees,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,1310 Farm Building,18
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,132 Backyard,6
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,133 Frontyard,9
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,134 Garage,9
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,135 Shed,9
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2023,Pyrenees,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,17
2023,Pyrenees,2 Community,21 Education,211 School,2
2023,Pyrenees,2 Community,21 Education,213 Other Educational,1
2023,Pyrenees,2 Community,22 Health,222 Medical Centre,2
2023,Pyrenees,2 Community,23 Religious,231 Church,1
2023,Pyrenees,2 Community,24 Public Transport,242 Train Station,1
2023,Pyrenees,2 Community,25 Other Transport,255 Carpark (Single Level),2
2023,Pyrenees,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2023,Pyrenees,2 Community,26 Justice,261 Police Station,1
2023,Pyrenees,2 Community,26 Justice,265 Other Justice Facility,1
2023,Pyrenees,2 Community,27 Open Space,271 Parkland/Reserve,14
2023,Pyrenees,2 Community,27 Open Space,272 Rural,8
2023,Pyrenees,2 Community,27 Open Space,275 Other Open Space,1
2023,Pyrenees,2 Community,28 Street/footpath,281 Street/Lane/Footpath,40
2023,Pyrenees,2 Community,29 Other community location,291 Cemetery,1
2023,Pyrenees,3 Other,31 Admin/professional,311 Business Office,4
2023,Pyrenees,3 Other,33 Retail,3310 24Hr Convenience,1
2023,Pyrenees,3 Other,33 Retail,3312 Other Retail,2
2023,Pyrenees,3 Other,33 Retail,332 Service Station,9
2023,Pyrenees,3 Other,33 Retail,335 Supermarket,1
2023,Pyrenees,3 Other,33 Retail,339 Milkbar,1
2023,Pyrenees,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2023,Pyrenees,3 Other,36 Manufacturing,362 Any Manufacturing,1
2023,Pyrenees,3 Other,37 Agricultural,371 Farmland/Agricultural,22
2023,Pyrenees,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Pyrenees,3 Other,38 Recreational,381 Licensed Premises,1
2023,Pyrenees,3 Other,38 Recreational,384 Sport Area/Facility,6
2023,Pyrenees,3 Other,38 Recreational,386 Other Rec./Sports,1
2023,Pyrenees,3 Other,39 Other location,392 Other Location (Not Elsewhere),7
2023,Queenscliffe,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,1
2023,Queenscliffe,1 Residential,11 Dwelling - private,112 House,11
2023,Queenscliffe,1 Residential,11 Dwelling - private,113 Bungalow,1
2023,Queenscliffe,1 Residential,11 Dwelling - private,115 Houseboat,1
2023,Queenscliffe,1 Residential,11 Dwelling - private,117 Farm House,1
2023,Queenscliffe,1 Residential,13 Grounds/surrounding land,132 Backyard,1
2023,Queenscliffe,1 Residential,13 Grounds/surrounding land,133 Frontyard,2
2023,Queenscliffe,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2023,Queenscliffe,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2023,Queenscliffe,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,4
2023,Queenscliffe,2 Community,21 Education,211 School,1
2023,Queenscliffe,2 Community,21 Education,212 School Grounds,1
2023,Queenscliffe,2 Community,23 Religious,232 Other religious,1
2023,Queenscliffe,2 Community,25 Other Transport,253 Boat,1
2023,Queenscliffe,2 Community,25 Other Transport,254 Dock/Wharf,3
2023,Queenscliffe,2 Community,25 Other Transport,255 Carpark (Single Level),3
2023,Queenscliffe,2 Community,27 Open Space,271 Parkland/Reserve,5
2023,Queenscliffe,2 Community,27 Open Space,272 Rural,1
2023,Queenscliffe,2 Community,27 Open Space,274 Beach Foreshore,4
2023,Queenscliffe,2 Community,27 Open Space,275 Other Open Space,1
2023,Queenscliffe,2 Community,28 Street/footpath,281 Street/Lane/Footpath,5
2023,Queenscliffe,2 Community,29 Other community location,292 Civic Centre,1
2023,Queenscliffe,3 Other,33 Retail,3311 Restaurant/Fastfood,1
2023,Queenscliffe,3 Other,33 Retail,3312 Other Retail,1
2023,Queenscliffe,3 Other,38 Recreational,384 Sport Area/Facility,1
2023,Queenscliffe,3 Other,39 Other location,392 Other Location (Not Elsewhere),1
2023,South Gippsland,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,42
2023,South Gippsland,1 Residential,11 Dwelling - private,112 House,773
2023,South Gippsland,1 Residential,11 Dwelling - private,113 Bungalow,6
2023,South Gippsland,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,8
2023,South Gippsland,1 Residential,11 Dwelling - private,117 Farm House,43
2023,South Gippsland,1 Residential,12 Dwelling  - non-private,122 Holiday Home,32
2023,South Gippsland,1 Residential,12 Dwelling  - non-private,123 Guest House,6
2023,South Gippsland,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2023,South Gippsland,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,6
2023,South Gippsland,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,5
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,2
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,132 Backyard,21
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,133 Frontyard,66
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,134 Garage,20
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,135 Shed,30
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,3
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),17
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,45
2023,South Gippsland,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2023,South Gippsland,2 Community,21 Education,211 School,69
2023,South Gippsland,2 Community,21 Education,212 School Grounds,15
2023,South Gippsland,2 Community,21 Education,213 Other Educational,6
2023,South Gippsland,2 Community,22 Health,222 Medical Centre,2
2023,South Gippsland,2 Community,22 Health,224 Other Health,4
2023,South Gippsland,2 Community,23 Religious,231 Church,2
2023,South Gippsland,2 Community,23 Religious,232 Other religious,2
2023,South Gippsland,2 Community,24 Public Transport,2410 Rail Track,1
2023,South Gippsland,2 Community,24 Public Transport,242 Train Station,1
2023,South Gippsland,2 Community,24 Public Transport,243 Railway Carpark,1
2023,South Gippsland,2 Community,25 Other Transport,251 Private Car,3
2023,South Gippsland,2 Community,25 Other Transport,253 Boat,1
2023,South Gippsland,2 Community,25 Other Transport,255 Carpark (Single Level),25
2023,South Gippsland,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2023,South Gippsland,2 Community,26 Justice,261 Police Station,7
2023,South Gippsland,2 Community,26 Justice,262 Court,56
2023,South Gippsland,2 Community,27 Open Space,271 Parkland/Reserve,36
2023,South Gippsland,2 Community,27 Open Space,272 Rural,14
2023,South Gippsland,2 Community,27 Open Space,273 Vacant Block,1
2023,South Gippsland,2 Community,27 Open Space,274 Beach Foreshore,4
2023,South Gippsland,2 Community,27 Open Space,275 Other Open Space,18
2023,South Gippsland,2 Community,27 Open Space,276 Beach Car Park,3
2023,South Gippsland,2 Community,28 Street/footpath,281 Street/Lane/Footpath,202
2023,South Gippsland,2 Community,29 Other community location,291 Cemetery,3
2023,South Gippsland,2 Community,29 Other community location,292 Civic Centre,5
2023,South Gippsland,3 Other,31 Admin/professional,311 Business Office,13
2023,South Gippsland,3 Other,31 Admin/professional,312 Other Admin/Professional,3
2023,South Gippsland,3 Other,32 Financial,321 Bank,1
2023,South Gippsland,3 Other,33 Retail,331 Chemist/Pharmacy,4
2023,South Gippsland,3 Other,33 Retail,3310 24Hr Convenience,1
2023,South Gippsland,3 Other,33 Retail,3311 Restaurant/Fastfood,5
2023,South Gippsland,3 Other,33 Retail,3312 Other Retail,35
2023,South Gippsland,3 Other,33 Retail,332 Service Station,45
2023,South Gippsland,3 Other,33 Retail,334 2nd Hand Dealer,1
2023,South Gippsland,3 Other,33 Retail,335 Supermarket,19
2023,South Gippsland,3 Other,33 Retail,336 Department Store,3
2023,South Gippsland,3 Other,33 Retail,337 Shopping Complex,2
2023,South Gippsland,3 Other,33 Retail,338 Car Sales Yard,4
2023,South Gippsland,3 Other,33 Retail,339 Milkbar,1
2023,South Gippsland,3 Other,34 Wholesale,341 Any Wholesale,1
2023,South Gippsland,3 Other,35 Warehousing/storage,351 Warehousing/Storage,17
2023,South Gippsland,3 Other,36 Manufacturing,361 Factory,10
2023,South Gippsland,3 Other,36 Manufacturing,362 Any Manufacturing,2
2023,South Gippsland,3 Other,37 Agricultural,371 Farmland/Agricultural,25
2023,South Gippsland,3 Other,37 Agricultural,373 Other Agricultural,7
2023,South Gippsland,3 Other,38 Recreational,381 Licensed Premises,28
2023,South Gippsland,3 Other,38 Recreational,384 Sport Area/Facility,21
2023,South Gippsland,3 Other,38 Recreational,385 Gaming Venue,7
2023,South Gippsland,3 Other,38 Recreational,386 Other Rec./Sports,27
2023,South Gippsland,3 Other,39 Other location,392 Other Location (Not Elsewhere),29
2023,South Gippsland,3 Other,39 Other location,393 Construction Site,6
2023,Southern Grampians,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,40
2023,Southern Grampians,1 Residential,11 Dwelling - private,112 House,529
2023,Southern Grampians,1 Residential,11 Dwelling - private,113 Bungalow,1
2023,Southern Grampians,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2023,Southern Grampians,1 Residential,11 Dwelling - private,116 Ministry Of Housing,10
2023,Southern Grampians,1 Residential,11 Dwelling - private,117 Farm House,6
2023,Southern Grampians,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2023,Southern Grampians,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2023,Southern Grampians,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,6
2023,Southern Grampians,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,132 Backyard,14
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,133 Frontyard,28
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,134 Garage,2
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,135 Shed,8
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,16
2023,Southern Grampians,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2023,Southern Grampians,2 Community,21 Education,211 School,6
2023,Southern Grampians,2 Community,21 Education,212 School Grounds,3
2023,Southern Grampians,2 Community,21 Education,213 Other Educational,1
2023,Southern Grampians,2 Community,22 Health,221 Hospital,1
2023,Southern Grampians,2 Community,22 Health,222 Medical Centre,1
2023,Southern Grampians,2 Community,22 Health,224 Other Health,2
2023,Southern Grampians,2 Community,23 Religious,231 Church,1
2023,Southern Grampians,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2023,Southern Grampians,2 Community,24 Public Transport,246 Depot/Terminal,1
2023,Southern Grampians,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2023,Southern Grampians,2 Community,25 Other Transport,255 Carpark (Single Level),7
2023,Southern Grampians,2 Community,26 Justice,261 Police Station,8
2023,Southern Grampians,2 Community,26 Justice,262 Court,48
2023,Southern Grampians,2 Community,27 Open Space,271 Parkland/Reserve,16
2023,Southern Grampians,2 Community,27 Open Space,272 Rural,3
2023,Southern Grampians,2 Community,27 Open Space,275 Other Open Space,2
2023,Southern Grampians,2 Community,28 Street/footpath,281 Street/Lane/Footpath,140
2023,Southern Grampians,3 Other,31 Admin/professional,311 Business Office,4
2023,Southern Grampians,3 Other,32 Financial,321 Bank,4
2023,Southern Grampians,3 Other,32 Financial,324 Other Financial,1
2023,Southern Grampians,3 Other,33 Retail,3310 24Hr Convenience,3
2023,Southern Grampians,3 Other,33 Retail,3311 Restaurant/Fastfood,11
2023,Southern Grampians,3 Other,33 Retail,3312 Other Retail,31
2023,Southern Grampians,3 Other,33 Retail,332 Service Station,18
2023,Southern Grampians,3 Other,33 Retail,335 Supermarket,22
2023,Southern Grampians,3 Other,33 Retail,336 Department Store,1
2023,Southern Grampians,3 Other,33 Retail,337 Shopping Complex,12
2023,Southern Grampians,3 Other,33 Retail,339 Milkbar,16
2023,Southern Grampians,3 Other,35 Warehousing/storage,351 Warehousing/Storage,6
2023,Southern Grampians,3 Other,37 Agricultural,371 Farmland/Agricultural,14
2023,Southern Grampians,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Southern Grampians,3 Other,38 Recreational,381 Licensed Premises,17
2023,Southern Grampians,3 Other,38 Recreational,383 Cinema,1
2023,Southern Grampians,3 Other,38 Recreational,384 Sport Area/Facility,11
2023,Southern Grampians,3 Other,38 Recreational,386 Other Rec./Sports,5
2023,Southern Grampians,3 Other,39 Other location,392 Other Location (Not Elsewhere),13
2023,Stonnington,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,1599
2023,Stonnington,1 Residential,11 Dwelling - private,112 House,1581
2023,Stonnington,1 Residential,11 Dwelling - private,113 Bungalow,7
2023,Stonnington,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2023,Stonnington,1 Residential,11 Dwelling - private,116 Ministry Of Housing,45
2023,Stonnington,1 Residential,11 Dwelling - private,117 Farm House,1
2023,Stonnington,1 Residential,12 Dwelling  - non-private,121 Boarding House,10
2023,Stonnington,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2023,Stonnington,1 Residential,12 Dwelling  - non-private,124 Nursing Home,9
2023,Stonnington,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,31
2023,Stonnington,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,22
2023,Stonnington,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,6
2023,Stonnington,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,40
2023,Stonnington,1 Residential,13 Grounds/surrounding land,132 Backyard,28
2023,Stonnington,1 Residential,13 Grounds/surrounding land,133 Frontyard,165
2023,Stonnington,1 Residential,13 Grounds/surrounding land,134 Garage,101
2023,Stonnington,1 Residential,13 Grounds/surrounding land,135 Shed,11
2023,Stonnington,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,29
